N,P,K,pH,temperature,humidity,rainfall,crop,fertilizer,quantity
78,35,41,5.01,34.25,55.81,2715.77,3,1,50.699999999999996
159,49,81,7.97,26.25,66.01,768.08,4,6,6.199999999999999
104,80,31,6.87,16.98,50.83,428.64,4,2,33.4
45,55,15,5.01,25.57,34.4,1191.33,2,5,65.0
133,83,58,6.21,29.47,70.36,357.99,1,6,13.0
56,76,20,5.14,10.14,87.63,2673.84,4,5,53.4
42,20,80,7.3,39.64,70.07,726.83,2,5,50.4
84,60,24,7.54,28.8,62.38,595.0,2,2,48.2
64,41,77,4.92,39.65,39.82,2405.79,5,0,38.7
93,81,49,6.52,24.07,67.51,2194.74,3,2,29.199999999999996
121,29,43,7.76,28.71,66.67,359.48,0,1,38.8
47,14,116,8.24,23.84,67.13,1626.78,6,5,36.300000000000004
148,50,113,6.55,10.28,83.54,1456.78,4,4,0.0
91,22,95,8.3,35.5,72.98,1283.2,3,1,29.099999999999994
60,84,39,6.64,23.47,77.0,554.76,6,2,42.2
42,12,28,6.08,24.13,48.8,2404.59,5,5,73.6
106,24,110,7.89,20.8,46.22,871.88,6,1,18.0
26,65,71,6.47,22.98,42.41,1483.06,4,5,45.3
91,52,71,6.39,31.77,76.7,2666.98,5,5,29.700000000000003
62,83,47,6.46,31.02,71.92,1091.08,2,3,38.7
33,76,39,7.89,34.25,50.53,300.05,4,5,52.7
119,55,41,7.83,39.24,38.47,2689.57,4,6,32.4
130,57,92,6.11,21.73,80.8,1582.89,2,0,8.099999999999998
110,87,34,5.83,20.17,53.06,1591.78,1,2,28.300000000000004
103,45,110,6.47,24.81,41.38,1743.96,2,2,12.600000000000001
121,32,118,6.79,14.63,38.66,703.82,3,1,7.899999999999997
33,64,96,5.45,32.74,85.18,2201.68,4,5,33.5
47,64,21,7.68,27.43,37.81,847.87,2,5,59.3
49,63,18,6.45,16.34,51.58,1043.21,6,5,60.2
98,74,46,5.84,35.92,67.93,1967.33,1,4,31.0
73,60,26,4.93,28.57,54.48,2299.32,3,2,50.7
159,41,44,5.46,11.02,58.65,2245.73,0,0,23.4
133,29,114,8.3,15.9,78.16,432.82,4,1,6.799999999999997
139,45,103,5.72,36.73,89.95,2312.82,2,3,4.6
94,41,69,5.18,21.43,58.03,2055.63,4,0,32.9
89,66,13,6.34,39.53,52.73,1894.27,0,2,49.3
86,38,50,5.73,25.89,54.41,2907.25,4,1,43.8
34,55,77,4.64,16.24,52.15,1171.11,2,5,43.5
151,44,97,5.79,27.82,58.43,2112.64,2,1,3.6999999999999975
117,88,12,6.68,13.07,49.99,1805.05,3,2,34.7
121,83,18,6.71,34.23,57.76,1286.29,1,2,32.6
124,61,20,5.93,28.84,86.73,2407.07,2,2,37.5
105,24,105,6.29,38.92,47.17,1328.81,6,1,20.3
56,60,116,8.36,30.7,69.11,1763.96,0,5,19.800000000000004
142,40,70,6.01,11.47,59.22,1769.76,5,3,18.4
151,84,113,5.53,24.29,73.94,1631.72,3,3,0.0
29,25,102,5.47,25.94,58.34,1480.73,3,5,44.0
46,45,107,6.33,37.5,39.63,669.78,0,5,30.900000000000002
103,48,107,7.54,22.97,82.35,874.37,1,4,12.899999999999999
24,20,30,5.32,27.81,70.55,545.81,5,5,75.8
118,29,34,7.34,15.58,61.55,2225.78,1,1,43.3
148,65,94,4.58,17.34,79.87,2284.03,6,0,0.0
50,51,71,6.18,26.46,88.57,1987.88,6,5,42.300000000000004
38,56,93,7.6,30.91,54.56,2769.4,6,5,35.599999999999994
73,15,33,5.85,23.06,51.18,941.9,5,1,61.39999999999999
147,44,78,6.75,22.98,75.22,2498.87,1,3,12.5
151,17,50,5.32,17.68,57.28,720.33,4,1,30.599999999999998
67,80,66,7.47,30.94,35.15,389.9,5,1,30.5
68,46,75,4.71,10.16,51.26,200.36,4,0,36.8
136,59,18,7.91,25.38,78.52,1825.77,2,2,35.3
75,25,116,5.29,10.11,72.4,2380.47,4,1,24.6
93,18,17,8.0,27.8,81.77,2504.36,0,1,60.9
25,84,105,5.91,10.93,38.8,1517.83,0,5,26.299999999999997
95,69,67,7.39,38.2,44.64,364.42,0,3,25.0
132,60,80,5.78,24.34,42.88,300.13,0,0,11.399999999999999
145,55,47,8.12,30.52,88.28,2768.58,1,6,22.200000000000003
55,80,29,5.01,35.61,40.14,460.23,0,5,48.900000000000006
44,21,56,5.21,17.06,65.88,2397.06,6,5,59.1
74,73,88,6.47,26.2,67.97,394.79,0,3,21.700000000000003
76,30,112,4.83,35.9,67.13,713.38,3,1,24.400000000000002
90,14,37,5.28,26.13,71.5,656.03,4,1,55.0
67,15,104,8.28,21.78,59.04,975.9,3,1,34.8
123,52,69,8.41,21.07,35.02,1335.76,3,6,20.9
22,35,31,6.01,21.52,72.07,549.23,2,5,71.5
104,63,113,8.19,28.46,46.87,2924.84,6,6,5.6999999999999975
39,12,60,6.68,11.37,34.55,205.61,1,5,61.699999999999996
92,20,33,5.58,22.46,40.19,2361.93,6,1,54.2
79,34,107,7.31,26.82,47.23,1674.22,5,1,24.3
97,21,82,7.14,33.59,55.95,439.61,1,1,32.8
37,74,70,8.46,25.9,81.68,536.09,6,5,39.699999999999996
116,13,11,5.56,37.79,62.19,1852.0,1,1,57.9
85,61,118,7.19,23.31,58.32,1082.71,0,3,9.999999999999998
50,74,98,4.71,29.52,41.48,1460.53,6,5,24.6
28,79,85,4.95,10.53,87.56,1737.73,3,5,34.9
66,43,64,4.52,17.15,84.51,1805.37,5,0,42.699999999999996
20,25,13,8.5,34.46,78.96,1831.31,6,5,82.3
102,84,113,7.71,27.59,49.39,396.14,3,3,0.0
119,23,67,7.65,38.39,63.7,2273.34,1,1,31.599999999999998
148,83,22,6.54,32.59,53.33,1021.81,0,2,22.900000000000002
29,70,102,5.7,23.49,54.17,520.41,0,5,30.499999999999996
61,62,105,5.11,33.36,34.33,486.16,0,0,22.1
143,67,36,5.64,24.03,38.4,863.64,3,2,23.6
44,72,39,6.0,19.91,87.67,1960.3,4,5,50.599999999999994
114,22,119,7.53,11.41,66.61,1521.38,4,1,12.599999999999994
54,54,112,6.66,35.97,30.38,499.81,6,5,23.799999999999994
158,64,71,4.81,22.57,78.55,290.59,4,0,6.0
29,42,74,4.57,30.56,35.22,269.06,4,5,50.099999999999994
27,71,20,4.91,14.59,72.49,1379.06,4,5,63.6
124,48,96,6.14,34.87,67.25,2406.79,4,3,10.999999999999998
153,22,58,8.23,34.73,33.78,1806.16,3,1,25.3
143,82,26,7.05,24.46,61.86,2467.1,0,2,23.1
83,22,24,7.71,30.16,32.85,1094.29,1,1,59.900000000000006
65,25,36,6.37,25.64,33.86,592.95,3,1,59.6
123,63,19,5.95,26.57,33.07,2448.4,5,2,37.6
57,39,89,4.93,36.66,45.33,2237.96,5,5,36.599999999999994
105,48,110,8.0,39.01,78.11,1849.5,5,6,11.100000000000001
21,73,37,7.63,21.02,51.75,2685.73,4,5,58.0
43,79,11,5.17,19.95,68.37,1965.9,4,5,60.0
120,21,112,6.55,19.11,37.49,1672.28,3,1,13.899999999999999
86,11,44,6.45,33.12,85.97,1606.47,1,1,54.3
109,42,24,7.0,31.69,60.25,1928.65,0,2,46.1
113,24,68,8.28,11.31,31.48,1646.55,4,1,32.7
112,61,84,6.82,12.65,62.24,963.56,6,0,15.500000000000002
90,44,42,6.66,29.39,41.07,2870.84,2,2,44.0
156,47,64,4.7,18.25,41.75,2882.57,1,0,14.500000000000002
35,89,89,4.75,12.75,66.02,667.17,2,5,28.2
138,51,84,5.25,22.41,43.58,1685.67,2,0,10.7
127,16,93,4.63,36.32,42.84,2410.92,4,1,20.9
120,65,61,7.47,20.99,62.46,353.37,6,3,21.1
49,14,28,7.39,30.87,44.13,545.98,5,5,70.89999999999999
143,49,48,5.04,37.02,36.63,1725.7,3,0,24.2
75,70,96,7.84,15.08,54.5,279.35,0,6,19.1
113,74,69,5.12,28.29,33.12,2532.38,6,0,17.299999999999997
51,75,19,5.7,37.23,84.32,2644.86,4,5,55.6
97,77,81,5.5,15.8,57.09,2261.67,6,3,16.4
42,74,75,5.99,39.66,30.79,2502.61,3,5,36.199999999999996
36,51,65,5.52,20.95,43.48,2080.8,2,5,48.89999999999999
141,44,16,6.46,16.53,87.47,597.23,4,2,39.1
158,75,99,6.13,35.13,59.78,283.59,5,1,0.0
60,34,49,8.45,24.04,51.53,2574.64,2,1,53.199999999999996
34,15,28,4.72,30.12,48.91,2180.05,1,5,75.1
110,17,79,5.07,24.69,55.02,1315.69,6,1,31.299999999999997
71,44,106,4.71,29.31,42.71,2431.14,1,0,24.1
79,62,20,7.0,11.06,74.95,349.18,3,2,50.7
76,28,61,4.72,20.51,60.5,1093.44,6,1,45.4
52,18,109,7.85,29.72,75.09,1157.18,0,5,36.4
39,42,21,6.55,20.52,45.26,493.65,3,5,68.3
132,17,101,6.61,33.27,30.09,2276.75,6,1,15.899999999999997
87,47,71,6.75,38.83,87.97,2377.08,6,3,32.4
120,41,82,5.18,11.12,60.72,1832.88,0,0,19.9
120,32,32,5.29,35.66,34.78,1370.0,5,1,42.6
52,43,49,5.78,15.07,36.23,1899.75,2,5,52.9
50,55,79,6.87,37.52,56.08,2715.47,5,5,37.9
41,41,59,5.34,38.4,71.72,1201.71,2,5,52.79999999999999
125,10,73,4.97,27.08,53.8,1135.89,6,1,31.3
49,16,28,8.38,24.37,79.21,1943.64,6,5,70.3
24,33,93,4.59,32.75,49.74,2114.19,5,5,46.699999999999996
80,11,27,7.71,37.54,32.74,1481.7,1,1,62.900000000000006
136,27,36,7.65,16.97,30.5,2606.78,1,1,37.7
32,65,106,5.69,21.47,81.57,1186.41,4,5,29.5
156,41,102,5.04,22.53,89.07,1994.57,6,0,1.0999999999999979
37,86,82,5.08,35.37,37.97,2069.83,3,5,31.3
146,79,118,7.29,14.11,33.72,1025.49,5,3,0.0
159,19,53,7.07,28.69,84.86,252.78,3,1,26.400000000000002
138,49,67,7.63,20.53,36.05,2514.51,6,6,18.099999999999998
32,83,71,8.25,36.57,43.7,1550.77,5,5,38.1
143,43,59,7.27,20.19,78.1,467.27,2,5,21.6
95,42,100,5.12,39.34,89.88,2881.17,5,0,19.9
137,84,62,5.47,10.47,59.16,1030.0,4,0,9.9
117,66,112,7.87,17.19,42.65,1528.51,1,6,1.3000000000000007
52,31,70,5.34,23.72,80.86,1555.39,1,5,48.099999999999994
101,57,84,4.79,17.69,53.66,1238.24,5,0,19.999999999999996
86,85,59,7.31,32.12,46.36,624.43,5,4,26.1
73,41,63,6.11,34.44,59.42,2172.02,2,3,41.599999999999994
25,54,51,8.18,30.93,81.35,747.36,4,5,56.9
55,11,68,7.1,39.11,43.98,2110.51,6,5,54.0
74,87,17,4.86,23.68,55.43,2445.9,4,2,45.900000000000006
146,64,23,8.29,39.39,56.65,264.77,3,2,28.8
90,68,119,5.53,13.74,79.97,2249.0,6,6,6.0
113,42,22,5.85,35.38,70.56,1986.49,6,2,45.7
41,23,80,6.11,11.15,76.83,748.17,2,5,49.8
68,77,88,4.7,25.96,71.6,1936.54,4,0,22.299999999999997
155,75,111,6.49,24.53,65.56,1378.16,4,6,0.0
155,83,53,4.99,35.69,37.94,436.86,0,0,8.4
119,68,52,6.1,31.02,79.98,1666.33,2,6,24.1
56,24,27,5.9,23.23,66.44,2925.2,0,5,66.2
97,40,45,7.59,36.87,72.07,2016.67,1,5,41.9
140,38,40,7.71,36.58,76.72,1125.53,0,1,31.6
40,84,13,5.11,10.74,48.7,1777.8,5,5,58.6
120,82,86,5.97,36.13,56.24,2265.84,1,4,6.0
146,56,48,5.99,25.8,62.48,637.48,3,3,21.2
25,66,103,5.11,35.17,50.57,1680.72,0,5,32.5
138,67,64,7.69,15.44,45.51,1619.22,4,3,13.9
147,40,28,7.33,14.53,76.61,1254.36,1,2,33.7
59,62,77,5.26,31.67,75.22,2291.78,5,5,33.900000000000006
151,73,74,5.97,18.26,79.91,1782.03,2,3,4.2
117,11,49,4.92,26.77,71.8,2156.91,2,1,43.0
141,69,105,7.01,30.66,48.7,1868.69,5,6,0.0
120,57,85,4.99,28.31,49.62,2386.63,1,0,13.899999999999999
83,57,85,8.44,30.97,61.67,1975.01,5,6,24.999999999999996
117,70,93,7.62,28.61,80.14,2097.68,3,3,7.7
99,13,84,6.06,21.37,50.78,831.39,0,1,33.8
42,35,39,6.81,12.71,75.96,2568.43,4,5,62.3
106,31,117,8.15,35.66,48.34,635.05,1,1,13.099999999999998
108,52,104,6.72,35.38,50.31,1151.49,3,3,11.399999999999999
112,29,37,5.2,10.17,75.14,2690.34,3,1,43.9
119,57,117,6.01,35.23,70.71,504.04,0,3,1.3999999999999986
146,70,58,7.87,14.53,42.49,2626.7,4,6,13.0
98,32,102,7.08,19.99,79.62,1531.02,0,1,21.2
120,70,50,7.1,22.4,77.08,714.04,1,6,24.0
118,89,95,7.97,30.39,77.85,2264.14,2,6,0.9000000000000004
58,72,118,8.08,12.77,58.22,994.87,4,5,14.799999999999995
66,28,58,8.18,34.8,49.72,2098.15,5,1,49.599999999999994
56,84,38,4.88,38.28,80.99,2414.51,2,5,43.8
111,85,10,6.68,38.58,65.29,1794.12,5,2,38.2
49,22,94,7.46,12.76,85.86,2400.8,0,5,42.099999999999994
87,11,40,7.53,37.58,45.23,2818.13,5,1,55.599999999999994
26,60,36,6.93,27.03,88.54,1741.12,4,5,60.8
116,84,44,5.17,31.81,52.75,626.63,5,0,23.4
66,10,17,7.69,37.92,53.07,2186.88,3,1,71.4
66,50,49,7.38,29.83,44.33,1348.21,2,3,46.6
98,19,67,4.84,23.7,87.9,1687.65,2,1,39.1
145,12,81,6.36,25.75,32.38,1955.08,3,1,21.5
118,17,15,5.2,30.54,58.4,2208.98,6,1,54.5
120,89,24,5.85,38.34,51.93,1991.42,3,2,28.700000000000003
152,45,30,4.57,36.69,39.56,852.04,0,2,29.9
106,49,46,6.1,27.31,72.79,2294.86,3,2,36.1
114,48,79,6.7,16.33,83.9,2460.56,2,6,20.799999999999997
111,56,63,6.98,20.4,44.61,305.49,2,2,25.7
71,69,38,7.15,20.85,59.86,1062.8,1,2,43.8
57,17,67,7.85,18.68,64.69,2937.84,3,5,52.0
132,83,98,5.36,32.4,53.43,697.64,2,0,0.0
159,46,96,4.98,35.08,85.29,711.9,2,0,1.0999999999999996
96,72,111,7.91,19.59,57.69,1855.71,2,6,6.1999999999999975
86,36,100,5.13,35.38,88.97,1146.85,0,1,24.4
140,12,115,8.4,32.03,47.71,2039.94,1,1,9.399999999999999
38,48,96,7.87,23.23,34.39,935.41,2,5,36.800000000000004
109,15,28,6.5,30.96,64.5,1392.8,6,1,52.599999999999994
49,19,101,8.43,33.08,79.4,2995.61,3,5,40.199999999999996
111,38,43,4.89,26.83,53.3,1245.63,6,1,39.099999999999994
37,38,67,5.71,23.29,41.11,441.26,0,5,51.7
82,29,80,7.05,13.05,74.29,2278.82,5,1,35.699999999999996
26,88,22,5.9,10.04,46.25,1848.01,4,5,58.0
107,75,13,8.21,38.12,76.18,1444.82,2,2,41.2
135,21,20,4.76,18.02,45.74,2744.42,0,1,46.2
82,22,59,6.7,29.89,63.44,610.56,3,1,46.199999999999996
107,48,30,6.86,38.3,83.26,1571.25,5,2,42.5
94,48,69,7.11,34.55,42.28,737.0,5,4,30.799999999999997
142,54,30,5.52,13.68,79.24,433.78,5,2,30.2
58,50,52,5.96,34.06,45.93,1438.59,6,5,47.8
157,89,54,7.87,31.79,69.64,2852.57,0,6,5.6000000000000005
126,52,51,5.28,19.88,44.62,2221.79,6,0,27.200000000000003
39,71,35,7.81,30.69,36.87,856.63,1,5,54.0
125,12,40,6.75,34.78,69.84,1495.34,5,1,43.9
118,18,58,7.55,18.74,65.69,2432.86,2,1,37.0
134,53,77,7.35,36.07,54.09,747.16,6,2,14.099999999999998
77,43,12,5.33,12.36,32.2,770.35,5,2,60.2
89,28,48,6.78,25.82,58.52,706.89,0,1,46.7
81,27,57,7.97,17.0,38.92,1900.84,1,1,45.8
148,55,30,6.23,31.84,51.57,281.06,0,2,28.1
158,50,111,8.37,15.25,65.17,1845.34,4,6,0.0
78,58,27,6.31,20.24,86.36,2511.04,3,2,49.4
117,61,106,5.07,13.82,60.68,2391.43,2,0,5.200000000000001
101,83,115,6.06,34.36,41.69,2067.13,0,3,0.0
156,52,44,8.31,13.97,86.77,814.58,1,6,21.0
65,19,41,5.78,31.69,31.55,2485.97,2,1,59.4
156,47,64,7.97,31.22,68.57,2880.9,4,6,14.500000000000002
90,47,20,8.03,14.27,45.74,714.59,6,2,51.9
122,56,112,5.9,26.98,75.45,2748.92,0,0,2.799999999999999
61,16,67,4.83,24.91,49.87,2588.37,2,1,51.1
47,21,104,7.4,27.84,55.72,2941.98,2,5,38.99999999999999
119,61,103,5.75,38.12,76.23,1093.97,0,5,5.799999999999999
80,42,47,7.63,12.42,83.87,2815.4,6,3,45.6
59,33,55,6.27,34.62,40.95,702.65,5,5,51.4
78,57,29,6.44,35.86,47.78,690.5,1,2,48.9
158,40,113,7.61,13.79,30.26,499.57,6,3,0.0
76,32,35,6.03,29.68,81.39,1397.76,4,1,54.599999999999994
142,80,20,6.27,31.06,86.83,234.11,5,2,26.4
159,81,75,6.0,26.46,46.77,1267.76,0,6,0.0
156,24,112,5.97,25.09,53.07,1952.59,6,1,2.1999999999999993
76,47,90,6.6,19.53,55.74,419.13,5,4,28.1
86,37,97,7.74,30.67,54.59,2491.73,0,1,25.3
49,30,103,5.95,18.57,53.57,1019.62,0,5,36.099999999999994
140,36,46,6.6,23.8,58.55,330.08,2,1,29.8
73,56,15,7.18,35.72,39.23,1248.91,5,2,56.3
51,65,63,5.58,12.69,33.46,587.62,5,5,41.0
41,23,96,5.61,25.85,73.41,2426.78,0,5,43.4
155,30,56,8.23,24.58,80.79,1135.22,2,1,23.1
128,23,108,7.39,21.35,78.61,527.64,5,1,12.499999999999995
85,79,56,6.81,27.93,67.6,1470.25,5,4,29.400000000000002
33,85,35,7.09,10.47,88.13,1465.53,6,5,51.6
152,37,34,4.62,24.77,30.09,971.71,6,1,30.700000000000003
32,46,45,6.97,24.57,49.17,1115.59,2,5,59.599999999999994
106,76,30,6.54,25.48,48.6,2352.75,2,2,34.4
143,42,115,6.68,16.37,50.98,1988.43,3,6,0.0
96,21,67,5.94,16.23,78.0,801.04,5,1,39.1
102,21,52,4.83,29.42,51.09,2854.92,6,1,43.3
43,84,32,5.27,12.78,61.63,1053.23,2,5,50.10000000000001
54,60,74,8.3,19.18,66.84,1693.63,4,5,37.199999999999996
87,44,68,6.13,34.92,80.72,1799.14,1,3,34.5
93,21,70,6.37,13.11,66.95,798.27,3,1,38.8
53,28,83,4.71,24.04,52.88,1015.43,0,5,43.49999999999999
53,68,98,4.65,30.06,71.68,1545.94,6,5,25.499999999999996
38,22,95,7.37,14.25,60.93,917.7,5,5,45.0
22,28,81,6.65,19.37,61.7,1055.76,1,5,53.6
135,45,114,6.53,26.76,50.11,1916.82,1,5,1.3999999999999986
55,13,73,5.47,19.82,30.1,2254.51,1,5,51.39999999999999
23,22,42,7.48,13.3,51.35,2442.75,0,5,70.7
141,15,85,5.17,16.97,48.16,540.82,2,1,20.2
150,53,57,5.26,13.28,36.02,2263.59,3,0,17.3
147,85,48,6.34,39.51,41.92,2821.82,1,3,12.200000000000001
28,89,21,5.65,17.07,88.85,1826.05,3,5,57.5
65,17,85,5.49,25.92,46.79,1893.1,4,1,42.4
33,42,20,7.08,22.86,61.09,2874.91,4,5,70.5
22,61,57,7.1,27.09,62.96,2634.41,1,5,53.300000000000004
21,85,17,7.8,24.94,63.6,1761.47,2,5,62.4
105,22,60,6.17,31.81,32.84,2344.38,1,1,38.9
119,19,17,4.79,36.19,76.29,706.52,4,1,52.800000000000004
157,43,110,5.59,18.56,73.82,1356.72,3,3,0.0
130,36,89,8.42,15.51,88.63,2203.15,3,1,15.6
72,67,109,6.89,39.53,41.08,1008.03,3,6,15.699999999999996
102,76,91,7.34,35.98,63.23,1470.91,6,4,11.199999999999998
41,53,117,4.53,20.92,78.23,683.64,5,5,25.999999999999996
39,78,94,6.57,36.84,37.46,2713.85,4,5,28.299999999999997
119,14,77,4.65,30.12,77.37,2707.87,6,1,30.3
129,46,80,6.78,23.12,46.2,1539.41,6,4,16.5
87,80,107,8.18,36.2,46.85,737.61,5,6,8.099999999999998
115,65,107,8.37,30.26,86.74,2101.79,4,6,4.199999999999999
27,60,118,6.66,34.79,48.83,797.9,6,5,27.699999999999996
70,65,45,6.33,22.53,65.05,840.06,5,3,42.5
70,51,110,8.28,33.96,56.41,2921.73,5,6,20.700000000000003
66,22,39,7.19,21.01,34.69,478.72,6,1,59.0
62,43,99,4.76,32.05,87.03,1261.88,2,0,29.9
156,43,21,6.36,23.07,42.82,1753.65,0,2,32.900000000000006
99,62,84,5.46,22.16,46.06,501.81,4,0,19.099999999999998
22,12,38,6.38,33.9,52.63,309.04,1,5,75.6
32,83,12,6.32,13.75,59.91,1718.55,1,5,61.7
59,46,71,6.83,37.85,38.66,520.77,3,5,41.1
58,61,20,5.93,25.26,67.8,903.27,3,5,57.3
77,15,82,5.16,29.08,60.88,1592.36,5,1,40.6
76,30,99,6.51,22.16,48.18,1172.99,1,1,29.6
43,54,68,7.82,29.38,71.56,2189.56,3,5,44.7
138,14,81,7.16,31.3,60.84,2894.87,6,1,23.0
41,12,94,5.85,36.05,80.44,2308.94,5,5,47.49999999999999
70,29,81,8.24,35.63,81.32,2999.98,2,1,38.9
95,85,51,8.15,20.73,88.81,1288.96,1,6,26.6
146,70,15,5.34,28.48,34.04,1054.67,1,2,30.2
80,44,64,4.66,33.42,54.31,795.24,2,0,38.199999999999996
68,41,91,7.47,32.95,60.09,2677.66,3,3,31.9
42,28,15,7.81,36.73,44.03,1291.82,3,5,74.0
23,24,30,8.37,34.96,85.32,2190.64,5,5,74.9
95,83,53,8.06,31.54,35.29,2089.38,6,6,26.4
56,66,57,6.9,32.47,55.71,359.81,2,5,41.6
112,35,96,6.62,34.22,41.11,2663.01,6,1,18.5
153,79,45,4.61,35.14,70.93,1562.3,0,0,13.4
155,11,91,5.49,20.58,72.3,825.93,1,1,14.799999999999999
98,58,100,6.34,33.45,82.35,2941.44,5,4,14.2
81,57,54,7.01,38.48,54.54,2308.84,6,2,38.0
130,41,12,6.73,16.99,76.51,1926.85,6,2,44.900000000000006
139,12,68,7.47,11.45,62.97,2967.45,6,1,28.5
72,29,21,5.62,12.17,78.74,2318.44,6,1,62.3
141,46,93,6.76,16.5,35.12,539.2,1,6,7.699999999999998
47,29,28,4.85,37.59,57.81,2975.21,3,5,67.0
37,69,32,6.15,13.8,39.03,1873.28,3,5,56.4
26,68,14,7.5,32.43,77.42,1038.42,4,5,67.2
40,51,60,7.27,36.01,39.16,2489.06,3,5,49.7
60,32,28,8.46,36.33,30.48,334.18,3,1,62.2
127,50,21,5.61,22.5,85.77,2032.23,4,2,39.5
157,82,101,6.49,24.86,59.08,645.96,0,3,0.0
50,36,66,5.82,19.7,89.11,445.12,0,5,48.800000000000004
61,55,46,6.26,14.42,57.18,1191.16,2,2,47.800000000000004
78,26,43,7.93,16.37,65.45,1197.82,2,1,52.599999999999994
137,11,89,7.24,14.04,74.65,1881.47,4,1,20.999999999999996
123,24,72,8.03,22.23,46.85,1783.22,4,1,28.099999999999998
62,84,13,5.31,15.11,37.97,2126.25,1,2,52.0
149,66,63,7.99,22.1,69.67,687.5,5,6,11.3
153,50,115,4.74,35.54,60.64,2638.42,5,0,0.0
96,82,63,8.05,29.64,79.61,2604.29,4,6,22.4
108,23,15,5.82,29.88,32.7,805.56,1,1,55.699999999999996
118,17,16,5.76,34.36,62.69,1526.01,0,1,54.1
56,85,43,6.55,11.24,41.15,1566.44,1,5,41.5
137,16,77,8.26,33.84,67.04,2779.47,3,1,24.299999999999997
154,76,24,4.69,15.89,75.63,2735.73,3,2,22.400000000000002
155,35,22,5.91,20.38,45.78,388.91,4,1,35.2
119,12,82,7.93,19.24,58.91,2882.48,0,1,28.899999999999995
74,55,46,6.08,13.17,55.21,391.97,2,4,43.900000000000006
124,13,90,5.3,15.21,75.29,1738.8,4,1,23.9
93,66,47,6.2,38.69,65.99,1072.46,0,3,34.5
77,55,87,6.04,28.01,37.24,1293.3,1,3,26.599999999999998
123,23,110,8.16,24.22,88.6,1954.81,3,1,13.199999999999996
35,12,40,7.55,32.73,84.74,1834.68,6,5,70.9
48,22,75,6.52,34.41,64.72,668.97,6,5,50.0
27,17,119,8.45,13.31,76.65,2915.39,1,5,40.199999999999996
119,65,92,6.36,32.23,31.2,280.34,6,0,8.999999999999998
142,11,92,4.73,37.97,42.09,1161.46,0,1,18.299999999999997
71,55,69,5.55,27.56,76.07,2443.86,1,2,35.6
110,40,22,6.24,28.42,36.37,2582.62,6,2,47.2
96,44,30,5.13,36.11,32.56,2432.41,6,2,47.0
125,71,104,8.29,30.38,66.94,1243.0,3,6,0.5999999999999979
44,55,53,7.57,39.86,32.05,2085.52,0,5,50.099999999999994
111,33,37,5.57,18.48,40.99,2340.04,6,1,43.0
92,74,66,6.86,35.36,34.8,1818.27,2,1,24.8
140,53,10,7.39,28.37,62.06,2101.25,3,2,39.1
45,60,108,8.27,20.97,70.62,1750.15,3,5,26.299999999999997
109,55,19,8.03,36.49,41.0,353.86,6,2,44.2
105,42,17,6.56,39.89,58.13,965.2,4,2,50.1
148,73,86,7.6,11.74,31.21,2167.42,2,3,0.2999999999999998
159,35,72,6.75,37.77,45.88,876.29,2,1,14.0
49,48,92,6.71,16.09,40.78,1475.3,6,5,35.099999999999994
33,67,76,4.96,16.16,39.96,1696.92,3,5,40.6
149,35,76,5.0,11.25,43.5,2078.72,3,1,15.4
150,84,36,6.62,37.67,78.32,925.6,6,2,16.400000000000002
25,76,27,5.58,32.78,86.99,1866.6,4,5,59.900000000000006
39,82,44,4.58,11.6,72.36,1870.23,1,5,47.099999999999994
59,66,53,7.39,29.01,34.34,2566.07,4,5,42.3
134,79,107,4.63,13.6,67.69,1745.73,4,0,0.0
143,82,103,6.88,32.54,74.05,1026.21,4,0,0.0
90,17,17,6.66,22.27,36.67,1663.57,5,1,62.1
52,43,94,8.38,11.55,47.66,500.37,2,5,34.9
70,78,55,6.44,34.88,55.7,1901.7,6,3,34.6
109,19,92,4.75,27.17,48.64,2765.17,1,1,25.8
109,31,52,6.71,33.19,61.1,1683.47,4,1,38.2
136,21,55,7.86,30.24,37.86,1018.07,4,1,31.9
98,38,49,8.49,23.03,56.68,1335.47,0,1,40.6
39,40,103,6.22,30.96,74.0,2725.2,4,5,36.099999999999994
38,15,65,5.78,10.44,57.66,2476.59,0,5,59.1
75,16,36,8.13,20.19,42.63,2448.89,1,1,59.300000000000004
20,88,29,5.26,33.34,78.13,1779.42,4,5,57.0
56,22,87,6.96,32.89,53.66,1309.96,5,5,42.8
37,72,66,6.12,36.62,55.51,570.82,3,5,41.9
98,33,21,4.66,28.33,51.46,2931.72,6,1,53.3
153,28,32,5.89,38.27,47.38,701.49,3,1,33.900000000000006
120,78,21,5.56,26.73,66.12,905.93,5,2,33.2
41,31,117,7.24,25.01,41.27,2339.93,2,5,32.599999999999994
30,69,53,8.3,15.92,76.15,1182.1,2,5,50.099999999999994
91,31,48,5.57,33.37,58.9,1834.83,2,1,45.2
28,26,51,7.75,30.76,83.02,2332.6,5,5,64.4
150,56,103,4.72,23.82,86.33,1757.14,4,0,0.0
154,16,57,6.65,12.61,52.98,1574.01,4,1,27.200000000000003
65,26,100,4.78,13.77,39.53,341.97,0,1,33.7
77,85,97,8.24,13.43,60.32,1565.44,1,6,13.599999999999998
47,71,76,7.57,21.27,46.23,1474.07,3,5,35.2
50,72,103,7.13,14.77,55.59,2665.43,5,5,23.199999999999996
